id,naslov,število epizod,status,sezona premiere,leto premiere,vir,dolzina epizode v minutah,oznaka,ocena,člani,favoritizacije,demografika,teme,žanri,studii,povezani vnosi,glavni liki
10568,Kamisama no Memochou,12,Finished Airing,Summer,2011,Light n,26,R - 17+ (violence &amp; profanity),7.47,241111,797,NG,['Detective'],"['Drama', 'Mystery']","[('7', 'J.C.Staff')]",[],"[('41924', 'Shionji, Yuuko', 'Main'), ('42917', 'Fujishima, Narumi', 'Main'), ('42918', 'Shinozaki, Ayaka', 'Main'), ('42923', 'Hinamura, Souichirou', 'Supporting'), ('42919', 'Huang, Ming Li', 'Supporting'), ('44326', 'Kusakabe, Charunee', 'Supporting'), ('42922', 'Kuwahara, Hiroaki', 'Supporting'), ('42921', 'Mukai, Hitoshi', 'Supporting'), ('44439', 'Nemo', 'Supporting'), ('45889', 'Hirasaka, Renji', 'Supporting')]"
10321,Uta no☆Prince-sama♪ Maji Love 1000%,13,Finished Airing,Summer,2011,Visual novel,25,PG-13 - Teens 13 or older,7.02,200204,1606,Josei,"['Idols (Male)', 'Music', 'Reverse Harem', 'School']","['Comedy', 'Romance']","[('56', 'A-1 Pictures')]","[('12711', 'Uta no☆Prince-sama♪ Maji Love 2000%')]","[('40564', 'Ichinose, Tokiya', 'Main'), ('40561', 'Ittoki, Otoya', 'Main'), ('40566', 'Kurusu, Shou', 'Main'), ('40565', 'Jinguuji, Ren', 'Main'), ('40562', 'Hijirikawa, Masato', 'Main'), ('40563', 'Shinomiya, Natsuki', 'Main'), ('40560', 'Nanami, Haruka', 'Main'), ('42886', 'Aijima, Cecil', 'Supporting'), ('40568', 'Tsukimiya, Ringo', 'Supporting'), ('40567', 'Saotome, Shining', 'Supporting')]"
10049,Nurarihyon no Mago: Sennen Makyou,24,Finished Airing,Summer,2011,Manga,23,PG-13 - Teens 13 or older,7.93,164741,646,Shounen,['Mythology'],"['Action', 'Supernatural']","[('37', 'Studio Deen')]","[('7592', 'Nurarihyon no Mago')]","[('12953', 'Nura, Rikuo', 'Main'), ('16599', 'Oikawa, Tsurara', 'Main'), ('17957', 'Keikain, Yura', 'Main'), ('34223', 'Nura, Rihan', 'Supporting'), ('26767', 'Gitsune, Hagoromo', 'Supporting'), ('23307', 'Nurarihyon', 'Supporting'), ('16602', 'Kubinashi', 'Supporting'), ('19433', 'Kappa', 'Supporting'), ('19434', 'Kurotabou', 'Supporting'), ('30740', 'Zen', 'Supporting')]"
10278,The iDOLM@STER,25,Finished Airing,Summer,2011,Game,24,PG-13 - Teens 13 or older,7.6,154237,1677,NG,"['Idols (Female)', 'Music']","['Comedy', 'Drama']","[('56', 'A-1 Pictures')]",[],"[('10369', 'Kisaragi, Chihaya', 'Main'), ('10366', 'Hoshii, Miki', 'Main'), ('3987', 'Kikuchi, Makoto', 'Main'), ('40012', 'Shijou, Takane', 'Main'), ('2759', 'Amami, Haruka', 'Main'), ('6168', 'Minase, Iori', 'Main'), ('40013', 'Ganaha, Hibiki', 'Main'), ('4015', 'Takatsuki, Yayoi', 'Main'), ('6169', 'Hagiwara, Yukiho', 'Main'), ('8427', 'Miura, Azusa', 'Main')]"
8915,Dantalian no Shoka,12,Finished Airing,Summer,2011,Light n,24,R - 17+ (violence &amp; profanity),7.22,151033,544,NG,"['Detective', 'Historical']","['Action', 'Mystery', 'Supernatural']","[('6', 'Gainax')]",[],"[('40987', 'Dalian', 'Main'), ('40072', 'Disward, Hugh Anthony', 'Main'), ('46685', 'Flamberge', 'Supporting'), ('46695', 'Raziel', 'Supporting'), ('49493', 'Shoka no shoujo', 'Supporting'), ('45229', 'Sauer Keynes, Camilla', 'Supporting'), ('46683', 'Kamhout, Hal', 'Supporting'), ('45807', 'Dickinson, Paula', 'Supporting'), ('48179', 'Nos', 'Supporting'), ('48175', 'Salut', 'Supporting')]"
9750,Itsuka Tenma no Kuro Usagi,12,Finished Airing,Summer,2011,Light n,24,R+ - Mild Nudity,6.5,133501,214,NG,"['School', 'Vampire']","['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","[('218', 'Zexcs')]",[],"[('30287', 'Saito, Himea', 'Main'), ('35621', 'Andou, Mirai', 'Main'), ('35620', 'Kurogane, Taito', 'Main'), ('35622', 'Kurenai, Gekkou', 'Main'), ('35624', 'Kurenai, Hinata', 'Supporting'), ('35623', 'Shigure, Haruka', 'Supporting'), ('44521', 'Aomi, Izumi', 'Supporting'), ('45541', 'Entolio, Serge', 'Supporting'), ('45543', 'Entolio, Hasga', 'Supporting'), ('45539', 'Eleranka, Vishoub', 'Supporting')]"
10611,R-15,12,Finished Airing,Summer,2011,Light n,24,R+ - Mild Nudity,6.41,91734,82,NG,"['Harem', 'School']","['Comedy', 'Romance', 'Ecchi']","[('48', 'AIC')]",[],"[('44455', 'Narukara, Fukune', 'Main'), ('44653', 'Sonokoe, Utae', 'Main'), ('44153', 'Akutagawa, Taketo', 'Main'), ('44903', 'Meiki, Raika', 'Main'), ('44457', 'Musen, Ran', 'Main'), ('44162', 'Kuroki, Kurumi', 'Main'), ('44905', 'Kagaku, Tsukuru', 'Supporting'), ('45587', 'Enshuu, Ritsu', 'Supporting'), ('68645', 'Kagura, Mai', 'Supporting'), ('44929', 'Kurabu, Katsuyo', 'Supporting')]"
10572,Ro-Kyu-Bu!,12,Finished Airing,Summer,2011,Light n,24,PG-13 - Teens 13 or older,6.76,83090,191,NG,"['School', 'Team Sports']","['Comedy', 'Sports', 'Ecchi']","[('439', 'Project No.9'), ('478', 'Studio Blanc.')]",[],"[('41799', 'Minato, Tomoka', 'Main'), ('42223', 'Hakamada, Hinata', 'Main'), ('42221', 'Misawa, Maho', 'Main'), ('42224', 'Kashii, Airi', 'Main'), ('42222', 'Nagatsuka, Saki', 'Main'), ('42220', 'Hasegawa, Subaru', 'Main'), ('42225', 'Takamura, Mihoshi', 'Supporting'), ('43661', 'Ogiyama, Aoi', 'Supporting'), ('44077', 'Takenaka, Natsuhi', 'Supporting'), ('48241', 'Kakizono, Satsuki', 'Supporting')]"
10465,Manyuu Hikenchou,12,Finished Airing,Summer,2011,Manga,24,R+ - Mild Nudity,6.18,82114,285,Seinen,"['Historical', 'Samurai']","['Action', 'Comedy', 'Ecchi']","[('346', 'Hoods Entertainment')]",[],"[('43644', 'Manyuu, Chifusa', 'Main'), ('43646', 'Manyuu, Kagefusa', 'Main'), ('44527', 'Sayama, Ouka', 'Main'), ('43645', 'Kaede', 'Main'), ('44537', 'Mie, Hatomune', 'Supporting'), ('45297', 'Chichi', 'Supporting'), ('45645', 'Toyo', 'Supporting'), ('151684', 'Oiso', 'Supporting'), ('44539', 'Oume', 'Supporting'), ('44531', 'Manyuu, Kyouka', 'Supporting')]"
10156,Sacred Seven,12,Finished Airing,Summer,2011,Original,24,PG-13 - Teens 13 or older,6.58,79074,81,NG,"['School', 'Super Power']","['Action', 'Sci-Fi']","[('14', 'Sunrise')]",[],"[('43755', 'Tandoji, Alma', 'Main'), ('43756', 'Aiba, Ruri', 'Main'), ('43764', 'Kijima, Knight', 'Supporting'), ('43757', 'Hellbrick', 'Supporting'), ('47479', 'Kagami, Father', 'Supporting'), ('43759', 'Itou, Wakana', 'Supporting'), ('44145', 'Risa', 'Supporting'), ('44143', 'Shiori', 'Supporting'), ('44589', 'SP', 'Supporting'), ('43761', 'Akasaki, Nanami', 'Supporting')]"
10372,Kamisama Dolls,13,Finished Airing,Summer,2011,Manga,24,R - 17+ (violence &amp; profanity),6.99,73296,95,Seinen,[],"['Action', 'Supernatural']","[('112', 'Brain&#039;s Base')]",[],"[('42810', 'Kuga, Aki', 'Main'), ('41301', 'Kuga, Utao', 'Main'), ('41300', 'Kuga, Kyouhei', 'Main'), ('41302', 'Shiba, Hibino', 'Main'), ('42815', 'Hyuuga, Mahiru', 'Supporting'), ('42813', 'Karahari, Kuuko', 'Supporting'), ('42811', 'Hyuuga, Koushirou', 'Supporting'), ('44282', 'Karahari, Kyousuke', 'Supporting'), ('44104', 'Somaki, Yurako', 'Supporting'), ('43604', 'Somaki, Moyako', 'Supporting')]"
9938,Ikoku Meiro no Croisée The Animation,12,Finished Airing,Summer,2011,Manga,23,G - All Ages,7.41,59511,165,Seinen,"['Historical', 'Iyashikei']",['Slice of Life'],"[('41', 'Satelight')]",[],"[('36350', 'Yune', 'Main'), ('38780', 'Claudel, Claude', 'Main'), ('42564', 'Blanche, Alice', 'Supporting'), ('42563', 'Claudel, Oscar', 'Supporting'), ('42565', 'Blanche, Camille', 'Supporting'), ('45487', 'Shione', 'Supporting'), ('45485', 'Vagrant child', 'Supporting'), ('48533', 'Narrator', 'Supporting'), ('48735', 'Yannick', 'Supporting'), ('48375', 'Gidrel', 'Supporting')]"
6920,Blade,12,Finished Airing,Summer,2011,Other,24,R - 17+ (violence &amp; profanity),6.21,28980,38,NG,['Vampire'],"['Action', 'Drama', 'Horror', 'Supernatural']","[('11', 'Madhouse')]",[],"[('43148', 'Brooks, Eric', 'Main'), ('43149', 'Makoto', 'Main'), ('66985', 'Howlett, James', 'Supporting'), ('59782', 'Agus', 'Supporting'), ('39556', 'Mikage, Kikyou', 'Supporting'), ('46215', 'Isaac, Lucius', 'Supporting'), ('61179', 'Frost, Edgar', 'Supporting'), ('59784', 'Lupit', 'Supporting'), ('56531', 'Carol', 'Supporting'), ('55481', 'Radu', 'Supporting')]"
10197,Nyanpire The Animation,12,Finished Airing,Summer,2011,Manga,4,G - All Ages,6.65,28591,89,NG,"['Anthropomorphic', 'Vampire']","['Comedy', 'Supernatural']","[('3', 'Gonzo')]",[],"[('42420', 'Nyanpire', 'Main'), ('42418', 'Nyatenshi', 'Main'), ('42419', 'Dokuganryu, Masamunya', 'Main'), ('42417', 'Chachamaru', 'Main'), ('47287', 'Katsuo', 'Supporting'), ('44007', 'Misaki', 'Supporting'), ('44008', 'Vampire', 'Supporting'), ('47283', 'Mouri', 'Supporting'), ('47285', 'Komori', 'Supporting')]"
