id_lika,ime,favoritizacije_lika
127679,Izawaru Hoshi Teiou,0
127680,Hoshi Hakase,0
127682,Shadow Taichou,0
127681,Kaoru Hizen,0
127677,Cockrow Shougun,0
127675,Touru Houjou,0
121191,Tarou Yamada,0
121199,Masami Iwaki,1
121197,Mamoru Shiranui,0
121195,Satoru Satonaka,0
121193,Student A,0
127670,Paul,0
127667,Nina,0
127669,Belt Satan,0
127668,Pakkun,0
127666,Doppe,0
127665,Akunaita,0
127664,Narrator,0
123928,Joji Kitayama,0
123929,Reiko Maki,1
123932,Saburou Koyama,0
