id,zanr
1533,Comedy
1533,Fantasy
1533,Romance
914,Comedy
914,Ecchi
1893,Comedy
1893,Romance
3036,Action
3036,Adventure
3036,Comedy
3036,Romance
2757,Action
2757,Comedy
2757,Fantasy
3099,Action
3099,Fantasy
2487,Adventure
2487,Drama
2487,Fantasy
2487,Sci-Fi
4286,Comedy
7245,Fantasy
18819,Fantasy
18819,Mystery
9812,Comedy
12793,Fantasy
11197,Comedy
386,Comedy
386,Romance
386,Sports
30,Action
30,Avant Garde
30,Award Winning
30,Drama
30,Sci-Fi
30,Suspense
852,Comedy
852,Drama
852,Romance
495,Adventure
495,Comedy
495,Fantasy
495,Ecchi
1567,Adventure
1567,Romance
116,Adventure
116,Comedy
116,Fantasy
116,Romance
961,Action
2736,Comedy
2736,Fantasy
2736,Sci-Fi
2366,Supernatural
4782,Comedy
4782,Slice of Life
18573,Slice of Life
225,Action
225,Adventure
225,Comedy
225,Fantasy
45,Action
45,Comedy
45,Romance
235,Adventure
235,Comedy
235,Mystery
2705,Adventure
7619,Adventure
7619,Supernatural
3505,Action
3505,Adventure
3425,Adventure
3425,Slice of Life
9540,Comedy
182,Action
182,Adventure
182,Fantasy
182,Romance
182,Suspense
996,Adventure
996,Comedy
996,Drama
996,Fantasy
996,Romance
535,Action
535,Adventure
535,Comedy
535,Fantasy
1486,Comedy
1486,Drama
1486,Romance
92,Action
92,Adventure
92,Drama
92,Sci-Fi
2012,Adventure
2012,Comedy
2012,Horror
2012,Romance
2012,Supernatural
286,Adventure
286,Sci-Fi
3010,Adventure
2817,Adventure
2817,Fantasy
2817,Romance
1040,Drama
1040,Romance
2087,Action
2087,Comedy
2087,Fantasy
3550,Comedy
8764,Comedy
7639,Adventure
7639,Fantasy
1485,Comedy
1485,Drama
3545,Comedy
3568,Comedy
3568,Sports
106,Drama
106,Romance
218,Action
218,Comedy
218,Romance
218,Sci-Fi
1372,Action
1372,Comedy
573,Action
573,Adventure
573,Comedy
573,Drama
573,Romance
573,Sci-Fi
1045,Adventure
1045,Comedy
1045,Fantasy
1045,Ecchi
2829,Adventure
2829,Drama
1502,Comedy
1502,Fantasy
1325,Adventure
1325,Drama
1325,Fantasy
2127,Action
2127,Adventure
2127,Sci-Fi
1891,Adventure
1891,Comedy
1891,Sci-Fi
2075,Adventure
2075,Comedy
2075,Slice of Life
890,Action
890,Adventure
890,Sci-Fi
1704,Action
1704,Adventure
1704,Sci-Fi
1853,Action
1853,Adventure
1853,Comedy
1853,Romance
1853,Sci-Fi
1853,Ecchi
527,Action
527,Adventure
527,Comedy
527,Fantasy
440,Award Winning
440,Drama
440,Fantasy
440,Mystery
440,Suspense
1172,Action
1172,Adventure
1172,Comedy
1172,Fantasy
538,Comedy
538,Romance
538,Sci-Fi
2076,Mystery
110,Action
110,Comedy
110,Drama
110,Gourmet
1844,Action
1844,Comedy
1844,Mystery
1180,Action
1180,Comedy
1180,Romance
1180,Sci-Fi
1161,Adventure
1161,Comedy
1161,Fantasy
2415,Adventure
2415,Sports
1466,Adventure
1466,Sci-Fi
646,Comedy
646,Supernatural
4211,Action
4211,Comedy
4211,Fantasy
2074,Adventure
2074,Comedy
2074,Fantasy
5189,Action
5189,Adventure
2822,Comedy
27393,Adventure
238,Action
238,Adventure
1936,Comedy
1936,Romance
1936,Sci-Fi
2280,Comedy
6520,Comedy
6520,Fantasy
6520,Slice of Life
9455,Comedy
33,Action
33,Adventure
33,Drama
33,Fantasy
33,Horror
690,Action
690,Drama
690,Horror
690,Supernatural
3312,Comedy
3312,Sci-Fi
1046,Adventure
1046,Comedy
1046,Fantasy
1186,Adventure
1186,Sci-Fi
1186,Sports
2364,Action
2364,Adventure
2364,Sci-Fi
1806,Action
1806,Adventure
1806,Comedy
1806,Supernatural
4651,Adventure
4651,Comedy
4651,Fantasy
3185,Adventure
3185,Comedy
3185,Fantasy
3432,Action
3432,Adventure
3432,Comedy
4929,Action
4929,Sci-Fi
2885,Comedy
5375,Comedy
15579,Adventure
15579,Fantasy
3869,Comedy
3869,Fantasy
400,Action
400,Adventure
400,Comedy
400,Sci-Fi
582,Action
582,Comedy
115,Adventure
115,Comedy
115,Fantasy
370,Action
370,Adventure
370,Comedy
370,Mystery
370,Sci-Fi
370,Ecchi
375,Action
375,Adventure
375,Comedy
375,Sci-Fi
2709,Action
1672,Comedy
1672,Sci-Fi
12951,Action
12951,Sci-Fi
9106,Action
9106,Adventure
9106,Fantasy
30034,Adventure
34841,Comedy
34841,Slice of Life
34841,Supernatural
24465,Comedy
1,Action
1,Award Winning
1,Sci-Fi
6,Action
6,Adventure
6,Sci-Fi
232,Adventure
232,Comedy
232,Drama
232,Fantasy
232,Romance
185,Action
185,Drama
550,Action
550,Comedy
550,Fantasy
206,Action
206,Adventure
206,Drama
206,Fantasy
206,Romance
303,Comedy
303,Supernatural
447,Action
447,Drama
1184,Adventure
1184,Comedy
1184,Drama
1184,Sci-Fi
1517,Action
1517,Comedy
1517,Drama
1517,Fantasy
1517,Horror
1517,Romance
1517,Sci-Fi
1163,Adventure
1163,Horror
633,Adventure
633,Award Winning
633,Drama
633,Fantasy
633,Romance
1846,Drama
1846,Romance
1846,Sports
604,Comedy
604,Drama
604,Romance
1542,Action
1542,Adventure
1542,Sci-Fi
2288,Adventure
2288,Sci-Fi
1775,Action
1775,Adventure
1775,Drama
1775,Fantasy
677,Drama
677,Romance
810,Comedy
810,Drama
810,Sci-Fi
