id,naslov,število epizod,sezona premiere,leto premiere,vir,dolzina epizode v minutah,ocena,člani,demografika,teme,žanri,studii
4486,Getter Robo G,39,spring,1975,Manga,24,6.49,3726,Shounen,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
2128,Yuusha Raideen,50,spring,1975,Original,24,6.36,3477,NG,['Mecha'],"['Action', 'Adventure', 'Sci-Fi']",['Sunrise']
3054,La Seine no Hoshi,39,spring,1975,Other,23,6.54,3030,NG,['Historical'],"['Action', 'Adventure', 'Drama']",['Sunrise']
2575,Don Chuck Monogatari,26,spring,1975,Original,25,5.92,1602,Kids,[],"['Adventure', 'Slice of Life']",['Knack Productions']
1458,Uchuu no Kishi Tekkaman,26,summer,1975,Original,25,6.16,3807,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
1985,UFO Robo Grendizer,74,fall,1975,Manga,25,7.55,12862,NG,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
2825,Arabian Nights: Sindbad no Bouken (TV),52,fall,1975,Book,24,7.21,7855,NG,['Historical'],"['Adventure', 'Fantasy', 'Romance']",['Nippon Animation']
4198,Koutetsu Jeeg,46,fall,1975,Original,22,7.0,3995,NG,"['Mecha', 'Mythology']","['Action', 'Fantasy', 'Sci-Fi']",['Toei Animation']
3915,Time Bokan,61,fall,1975,Original,24,6.39,3157,NG,['Mecha'],"['Adventure', 'Comedy']",['Tatsunoko Production']
4935,Ikkyuu-san,296,fall,1975,,25,6.83,2886,Kids,['Historical'],['Comedy'],['Toei Animation']
11268,Ganso Tensai Bakabon,103,fall,1975,Manga,24,6.29,1570,NG,['Gag Humor'],"['Comedy', 'Slice of Life']",[]
5104,Andes Shounen Pepero no Bouken,26,fall,1975,,24,6.6,1547,NG,[],['Adventure'],[]
3822,Sougen no Shoujo Laura,26,fall,1975,Other,24,6.2,1346,NG,['Historical'],['Adventure'],['Nippon Animation']
1663,Haha wo Tazunete Sanzenri,52,winter,1976,Book,26,7.44,11724,NG,['Historical'],"['Adventure', 'Drama', 'Slice of Life']",['Nippon Animation']
2545,Huckleberry no Bouken,26,winter,1976,Novel,25,6.18,2446,NG,['Historical'],"['Adventure', 'Drama']",['Group TAC']
1068,Chou Denji Robo Combattler V,54,spring,1976,Original,25,6.68,4350,NG,['Mecha'],"['Adventure', 'Sci-Fi']",[]
956,Daikuu Maryuu Gaiking,44,spring,1976,Original,24,6.61,3056,NG,['Mecha'],"['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
2567,Pinocchio yori Piccolino no Bouken,52,spring,1976,Novel,24,6.29,2584,Kids,[],['Adventure'],['Nippon Animation']
3361,UFO Senshi Dai Apolon,26,spring,1976,Original,24,5.89,1607,NG,['Mecha'],"['Action', 'Sci-Fi']",[]
7551,Gowapper 5 Gordam,36,spring,1976,Original,24,6.06,1368,NG,['Mecha'],"['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
10562,Machine Hayabusa,21,spring,1976,Original,23,6.1,1195,NG,['Racing'],['Action'],['Toei Animation']
23351,Youkaiden Nekome Kozou,25,spring,1976,Manga,25,5.83,1161,Seinen,['Psychological'],"['Adventure', 'Horror', 'Supernatural']",[]
5829,Blocker Gundan IV Machine Blaster,38,summer,1976,Original,23,5.83,1545,NG,['Mecha'],"['Action', 'Sci-Fi']",[]
5131,Groizer X,36,summer,1976,,25,6.12,1214,NG,['Mecha'],['Sci-Fi'],['Knack Productions']
2800,Candy Candy,115,fall,1976,Manga,25,7.57,32273,Shoujo,['Historical'],"['Drama', 'Romance']",['Toei Animation']
6262,Manga Sekai Mukashibanashi,127,fall,1976,,30,6.96,2344,NG,['Historical'],"['Adventure', 'Drama', 'Fantasy']",['Madhouse']
3932,Magnerobo Ga-Keen,39,fall,1976,Original,24,6.23,1717,NG,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
3825,Dokaben,163,fall,1976,,24,6.09,1633,Shounen,"['School', 'Team Sports']",['Sports'],['Nippon Animation']
4013,Paul no Miracle Daisakusen,50,fall,1976,Original,25,6.41,1518,Kids,[],"['Action', 'Adventure']",['Tatsunoko Production']
9978,Kyouryuu Tankentai Born Free,25,fall,1976,Original,24,5.92,1493,NG,[],"['Action', 'Sci-Fi']",['Sunrise']
3823,Little Lulu to Chicchai Nakama,26,fall,1976,,25,6.42,1098,Kids,[],"['Comedy', 'Slice of Life']",['Nippon Animation']
10815,UFO Senshi Dai Apolon 2,21,fall,1976,Original,24,6.19,1002,NG,['Mecha'],"['Action', 'Sci-Fi']",[]
8213,Hokahoka Kazoku,1428,fall,1976,,5,5.82,919,NG,[],['Comedy'],['Eiken']
20239,Hana no Kakarichou,25,fall,1976,Manga,25,N/A,530,Seinen,[],"['Comedy', 'Slice of Life']",[]
3008,Time Bokan Series: Yatterman,108,winter,1977,Original,22,6.67,5698,NG,['Mecha'],"['Action', 'Adventure', 'Comedy']",['Tatsunoko Production']
2576,Araiguma Rascal,52,winter,1977,Book,25,6.74,3778,NG,"['Historical', 'Pets']","['Drama', 'Slice of Life']",['Nippon Animation']
4339,Ashita e Attack!,23,spring,1977,Original,24,6.3,2750,NG,"['School', 'Team Sports']","['Drama', 'Sports']",['Nippon Animation']
1986,Wakusei Robo Danguard Ace,56,spring,1977,Original,25,6.04,2167,NG,"['Mecha', 'Military', 'Space']",['Sci-Fi'],['Toei Animation']
8375,Chogattai Majutsu Robot Ginguiser,26,spring,1977,Original,24,5.65,1550,NG,['Mecha'],"['Action', 'Adventure', 'Sci-Fi']",[]
3294,Gasshin Sentai Mechander Robo,35,spring,1977,,23,5.71,1458,NG,"['Mecha', 'Military', 'Space']","['Mystery', 'Sci-Fi']",[]
9781,Hyouga Senshi Gaislugger,20,spring,1977,Original,30,5.66,1229,NG,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
1069,Chou Denji Machine Voltes V,40,summer,1977,Original,23,7.41,8625,NG,['Mecha'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",[]
4514,Seton Doubutsuki: Kuma no Ko Jacky,26,summer,1977,Novel,24,6.71,2804,NG,['Historical'],"['Adventure', 'Drama']",['Nippon Animation']
1425,Lupin III: Part II,155,fall,1977,Manga,25,7.76,35799,Seinen,['Adult Cast'],"['Action', 'Adventure', 'Comedy', 'Mystery']",['Tokyo Movie Shinsha']
2828,Ie Naki Ko,51,fall,1977,Novel,24,7.86,16592,Kids,['Historical'],"['Adventure', 'Drama']",[]
2200,Muteki Choujin Zanbot 3,23,fall,1977,Original,24,6.98,5800,NG,['Mecha'],"['Action', 'Drama', 'Sci-Fi']",['Sunrise']
3196,Wakakusa no Charlotte,30,fall,1977,Original,25,6.66,3506,NG,['Historical'],"['Drama', 'Slice of Life']",['Nippon Animation']
3800,Arrow Emblem Grand Prix no Taka,44,fall,1977,,24,6.42,2620,NG,['Racing'],['Drama'],['Toei Animation']
3827,Ore wa Teppei,28,fall,1977,Manga,25,6.45,2113,Shounen,['Combat Sports'],['Sports'],['Nippon Animation']
4073,Kyouryuu Daisensou Izenborg,39,fall,1977,Original,24,6.57,1738,NG,['Mecha'],['Action'],[]
5287,Ippatsu Kanta-kun,53,fall,1977,Original,24,6.04,1215,Kids,['Team Sports'],"['Adventure', 'Comedy', 'Sports']",['Tatsunoko Production']
15875,Shin Kyojin no Hoshi,52,fall,1977,Manga,25,6.16,1154,NG,['Team Sports'],['Sports'],[]
9881,Chou Supercar Gattiger,25,fall,1977,,25,6.08,1125,NG,['Racing'],"['Action', 'Sci-Fi']",[]
20125,Tobidase! Machine Hiryuu,21,fall,1977,Original,25,N/A,793,NG,"['Parody', 'Racing']",['Comedy'],[]
2809,Fuusen Shoujo Temple-chan,26,fall,1977,Original,25,6.21,724,Kids,[],"['Adventure', 'Comedy']",['Tatsunoko Production']
20115,Gekisou! Rubenkaiser,17,fall,1977,,25,N/A,679,NG,['Racing'],[],['Toei Animation']
9856,Manga Nihon Emaki,46,fall,1977,,25,N/A,591,NG,['Historical'],[],[]
2549,Perrine Monogatari,53,winter,1978,Novel,25,7.54,6534,NG,['Historical'],['Drama'],['Nippon Animation']
10554,Yakyuukyou no Uta,25,winter,1978,Manga,46,6.37,1842,NG,['Team Sports'],"['Drama', 'Sports']",['Nippon Animation']
302,Mirai Shounen Conan,26,spring,1978,Novel,29,8.08,51828,NG,[],"['Adventure', 'Drama', 'Sci-Fi']",['Nippon Animation']
1000,Uchuu Kaizoku Captain Herlock,42,spring,1978,Manga,25,7.68,38935,Seinen,['Space'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Toei Animation']
2816,Toushou Daimos,44,spring,1978,Original,24,7.18,6475,NG,['Mecha'],"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",[]
1236,SF Saiyuuki Starzinger,73,spring,1978,Original,25,6.94,3264,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
3881,Majokko Tickle,45,spring,1978,Original,24,6.19,1686,NG,[],['Comedy'],['Toei Animation']
19947,Ikkyuu-san (1978),26,spring,1978,,23,6.21,914,Shounen,"['School', 'Team Sports']",['Sports'],['Nippon Animation']
3335,Haikara-san ga Tooru,42,summer,1978,Manga,24,7.11,7386,Shoujo,['Historical'],"['Drama', 'Romance']",['Nippon Animation']
3305,Muteki Koujin Daitarn 3,40,summer,1978,Original,25,7.05,4259,NG,['Mecha'],['Sci-Fi'],['Sunrise']
3811,Hoshi no Oujisama Petit Prince,35,summer,1978,Novel,24,6.7,2600,NG,[],['Adventure'],['Knack Productions']
1491,Ginga Tetsudou 999,113,fall,1978,Manga,24,7.77,39628,NG,['Space'],"['Adventure', 'Drama', 'Sci-Fi']",['Toei Animation']
2618,Takarajima,26,fall,1978,Novel,24,7.91,21259,NG,['Historical'],"['Adventure', 'Drama', 'Mystery']",['Tokyo Movie Shinsha']
1651,Uchuu Senkan Yamato 2,26,fall,1978,Original,24,7.4,9224,NG,"['Adult Cast', 'Military', 'Space']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Group TAC']
2561,Captain Future,52,fall,1978,Novel,23,7.1,5540,NG,[],"['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
8542,Shin Ace wo Nerae!,25,fall,1978,Manga,25,6.57,3527,Shoujo,['School'],"['Drama', 'Romance', 'Sports']",['Tokyo Movie Shinsha']
6374,Kagaku Ninja-tai Gatchaman II,52,fall,1978,,23,6.43,2810,NG,[],"['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,33,fall,1978,Other,25,N/A,692,NG,['Music'],"['Drama', 'Slice of Life']",['Toei Animation']
283,Akage no Anne,50,winter,1979,Novel,25,7.77,34301,NG,['Historical'],['Drama'],['Nippon Animation']
2230,Hana no Ko Lunlun,50,winter,1979,Original,24,6.87,6410,NG,[],"['Adventure', 'Drama']",['Toei Animation']
6889,Time Bokan Series: Zenderman,52,winter,1979,,24,5.8,1460,NG,"['Mecha', 'Super Power']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Tatsunoko Production']
8777,Nobara no Julie,13,winter,1979,Original,25,5.96,1239,NG,"['Historical', 'Music']","['Adventure', 'Drama']",['DAX Production']
80,Kidou Senshi Gundam,43,spring,1979,Original,25,7.75,135815,NG,"['Mecha', 'Military', 'Space']","['Action', 'Drama', 'Sci-Fi']",['Sunrise']
2471,Doraemon (1979),1787,spring,1979,Manga,11,7.84,64689,NG,['Anthropomorphic'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Shin-Ei Animation']
4690,Cyborg 009 (1979),50,spring,1979,Manga,24,7.14,11524,Shounen,[],"['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
3444,The☆Ultraman,50,spring,1979,Other,25,6.4,3836,NG,"['Space', 'Super Power']","['Action', 'Sci-Fi']",['Sunrise']
4411,Mirai Robo Daltanias,47,spring,1979,Original,24,6.64,2176,NG,"['Mecha', 'Space']","['Action', 'Sci-Fi']",['Toei Animation']
4515,Seton Doubutsuki: Risu no Banner,26,spring,1979,Novel,23,6.61,2138,Kids,[],['Drama'],['Nippon Animation']
3879,Paris no Isabelle,13,spring,1979,Original,25,5.52,1464,NG,['Historical'],['Drama'],['DAX Production']
5935,Animation Kikou: Marco Polo no Bouken,43,spring,1979,Original,20,6.1,1346,NG,['Historical'],['Adventure'],['Madhouse']
16486,Shin Kyojin no Hoshi II,23,spring,1979,Manga,25,6.08,1003,NG,['Team Sports'],['Sports'],[]
5886,Kujira no Josephina,23,spring,1979,Novel,25,6.04,768,NG,[],"['Adventure', 'Fantasy']",['Ashi Productions']
6012,Kinpatsu no Jeanie,13,summer,1979,Novel,25,5.9,1327,NG,['Historical'],['Drama'],['DAX Production']
338,Versailles no Bara,40,fall,1979,Manga,24,8.33,100485,Shoujo,"['Historical', 'Military']","['Drama', 'Romance']",['Tokyo Movie Shinsha']
6375,Kagaku Ninja-tai Gatchaman F,48,fall,1979,,24,6.46,2857,NG,[],"['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
5763,Uchuu Kuubo Blue Noah,24,fall,1979,Original,26,6.47,2433,NG,"['Military', 'Space']","['Action', 'Drama', 'Sci-Fi']",['Academy Productions']
5091,Manga Sarutobi Sasuke,24,fall,1979,Original,20,6.75,2231,NG,['Historical'],"['Adventure', 'Comedy', 'Supernatural']",[]
4199,Entaku no Kishi Monogatari: Moero Arthur,30,fall,1979,,24,6.35,2213,NG,['Historical'],"['Adventure', 'Drama', 'Romance']",['Toei Animation']
3877,Sasurai no Shoujo Nell,26,fall,1979,Novel,24,6.31,2145,NG,['Historical'],['Adventure'],['DAX Production']
5022,Toushi Gordian,73,fall,1979,Original,25,6.29,1579,NG,['Mecha'],"['Action', 'Sci-Fi']",['Tatsunoko Production']
2577,Tom Sawyer no Bouken,49,winter,1980,Book,25,7.3,9785,NG,['Historical'],"['Adventure', 'Drama', 'Slice of Life']",['Nippon Animation']
2151,Nils no Fushigi na Tabi,52,winter,1980,Novel,25,7.11,7515,Kids,[],"['Adventure', 'Fantasy']",['Pierrot']
3878,Mahou Shoujo Lalabel,49,winter,1980,Original,24,6.48,2824,NG,['Mahou Shoujo'],"['Comedy', 'Slice of Life']",['Toei Animation']
4536,Muteki Robo Trider G7,50,winter,1980,Original,24,6.39,1855,NG,"['Mecha', 'Space']","['Comedy', 'Sci-Fi']",['Sunrise']
3810,Mori no Youki na Kobito-tachi: Belfy to Lillibit,26,winter,1980,,25,6.3,1794,NG,[],"['Adventure', 'Comedy', 'Fantasy']",['Tatsunoko Production']
8553,Time Bokan Series: Time Patroltai Otasukeman,53,winter,1980,,25,6.25,1590,NG,[],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Tatsunoko Production']
3876,Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,26,winter,1980,Other,25,6.19,1557,NG,[],"['Adventure', 'Fantasy']",['Toei Animation']
32448,Kirin Ashita no Calendar,1306,winter,1980,,5,5.83,627,Kids,['Historical'],[],[]
930,Densetsu Kyojin Ideon,39,spring,1980,Original,25,7.05,18278,NG,"['Mecha', 'Space']","['Action', 'Drama', 'Sci-Fi']",['Sunrise']
3137,Tsurikichi Sanpei,109,spring,1980,Manga,24,7.07,5815,Shounen,[],"['Adventure', 'Sports']",['Nippon Animation']
4933,Muu no Hakugei,26,spring,1980,Original,24,6.29,2116,NG,[],"['Action', 'Fantasy', 'Sci-Fi']",['Tokyo Movie Shinsha']
4183,Uchuu Taitei God Sigma,50,spring,1980,,25,6.42,1875,NG,"['Mecha', 'Space']",['Action'],['Toei Animation']
4614,Moero Arthur: Hakuba no Ouji,22,spring,1980,,24,6.17,1432,NG,['Historical'],"['Adventure', 'Drama', 'Romance']",['Toei Animation']
7808,Zukkoke Knight: Don De La Mancha,23,spring,1980,,30,5.59,1157,NG,['Historical'],"['Adventure', 'Comedy', 'Romance']",[]
3213,Ganbare Genki,35,summer,1980,Manga,23,7.29,3300,Shounen,['Combat Sports'],"['Comedy', 'Sports']",['Toei Animation']
1737,Uchuu Senshi Baldios,34,summer,1980,,25,6.38,3072,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Ashi Productions']
2921,Ashita no Joe 2,47,fall,1980,Manga,24,8.73,53696,Shounen,['Combat Sports'],"['Drama', 'Sports']",['Tokyo Movie Shinsha']
3044,Tetsuwan Atom (1980),52,fall,1980,Manga,24,7.16,15270,Shounen,[],"['Action', 'Adventure', 'Sci-Fi']",['Tezuka Productions']
1652,Uchuu Senkan Yamato III,25,fall,1980,Original,24,7.02,6721,NG,"['Adult Cast', 'Military', 'Space']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Academy Productions']
4208,Tetsujin 28-gou (1980),51,fall,1980,Manga,23,6.66,2771,NG,['Mecha'],['Action'],['Tokyo Movie Shinsha']
3130,Kaibutsu-kun (1980),94,fall,1980,,25,6.57,1994,Kids,[],"['Comedy', 'Horror']",['Shin-Ei Animation']
5833,Tondemo Senshi Muteking,56,fall,1980,Original,25,6.23,1480,NG,[],"['Action', 'Comedy', 'Sci-Fi']",['Tatsunoko Production']
4511,Hoero! Bun Bun,39,fall,1980,,23,6.39,1414,NG,[],"['Adventure', 'Slice of Life']",[]
16530,Ojamanga Yamada-kun,103,fall,1980,,25,6.18,856,NG,[],"['Comedy', 'Slice of Life']",[]
2544,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,50,winter,1981,Novel,24,7.3,7417,NG,['Historical'],"['Adventure', 'Drama', 'Slice of Life']",['Nippon Animation']
4154,Time Bokan Series: Yattodetaman,52,winter,1981,,20,6.38,2245,NG,['Mecha'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Tatsunoko Production']
2222,Dr. Slump: Arale-chan,243,spring,1981,Manga,25,7.18,16889,Shounen,['Gag Humor'],"['Comedy', 'Sci-Fi']",['Toei Animation']
1448,Hyakujuu-Ou GoLion,52,spring,1981,Original,23,6.83,13118,NG,['Mecha'],"['Adventure', 'Sci-Fi']",['Toei Animation']
5832,Tiger Mask Nisei,33,spring,1981,Manga,24,7.3,6946,NG,['Combat Sports'],"['Drama', 'Sports']",['Toei Animation']
2799,Hello! Sandybell,47,spring,1981,Original,25,7.06,6840,NG,[],"['Adventure', 'Romance']",['Toei Animation']
1548,Shin Taketori Monogatari: 1000-nen Joou,42,spring,1981,Manga,24,7.12,6293,NG,[],"['Drama', 'Mystery', 'Sci-Fi']",['Toei Animation']
3836,Meiken Jolie,52,spring,1981,Novel,22,6.74,4072,NG,"['Historical', 'Pets']",['Adventure'],['Visual 80']
2912,Ohayou! Spank,63,spring,1981,Manga,24,6.68,3320,NG,[],"['Comedy', 'Slice of Life']",['TMS Entertainment']
3835,Ai no Gakkou Cuore Monogatari,26,spring,1981,Novel,25,6.56,2934,NG,"['Historical', 'School']","['Drama', 'Slice of Life']",['Nippon Animation']
4132,Wakakusa no Yon Shimai,26,spring,1981,Novel,23,6.37,1930,NG,['Historical'],"['Drama', 'Slice of Life']",['Toei Animation']
7106,Ougon Senshi Gold Lightan,52,spring,1981,Original,25,6.11,1432,NG,['Mecha'],"['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
6727,Mechakko Dotakon,28,spring,1981,,25,5.79,907,NG,[],"['Comedy', 'Sci-Fi']",[]
1293,Urusei Yatsura,195,fall,1981,Manga,25,7.71,90740,Shounen,[],"['Comedy', 'Romance', 'Sci-Fi']",[]
4936,Ninja Hattori-kun,694,fall,1981,Manga,10,6.95,12039,Shounen,['Martial Arts'],"['Comedy', 'Slice of Life']",['Shin-Ei Animation']
2257,Taiyou no Kiba Dagram,75,fall,1981,Original,23,7.37,6596,NG,"['Mecha', 'Military']","['Action', 'Drama', 'Sci-Fi']",['Sunrise']
2331,Uchuu Densetsu Ulysses 31,26,fall,1981,Original,25,7.08,6145,NG,['Space'],"['Action', 'Adventure', 'Sci-Fi']",['TMS Entertainment']
2748,Dash! Kappei,65,fall,1981,Manga,25,7.15,5916,Shounen,[],"['Comedy', 'Sports', 'Ecchi']",[]
3391,Maicching Machiko-sensei,95,fall,1981,Manga,25,6.18,4239,NG,['School'],"['Comedy', 'Ecchi']",['Pierrot']
3761,Wanwan Sanjuushi,26,fall,1981,Novel,24,6.76,3771,NG,"['Anthropomorphic', 'Historical']",['Adventure'],['Nippon Animation']
3399,Rokushin Gattai GodMars,64,fall,1981,Manga,24,6.36,3219,NG,"['Mecha', 'Space']","['Action', 'Sci-Fi']",[]
4240,Ginga Senpuu Braiger,39,fall,1981,Original,23,6.71,3047,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
2882,Anime Oyako Gekijou,26,fall,1981,Original,24,6.13,2806,Kids,['Historical'],"['Adventure', 'Fantasy', 'Sci-Fi']",['Tatsunoko Production']
3947,Jarinko Chie (TV),64,fall,1981,Manga,24,6.59,1567,Seinen,[],"['Comedy', 'Drama']",['Tokyo Movie Shinsha']
3873,Honey Honey no Suteki na Bouken,29,fall,1981,Manga,24,6.27,1473,Shoujo,['Historical'],['Adventure'],[]
11829,Manga Mitokoumon,46,fall,1981,,24,6.68,1407,NG,['Historical'],[],[]
2254,Sentou Mecha Xabungle,50,winter,1982,Original,24,7.15,5769,NG,"['Mecha', 'Military']","['Action', 'Sci-Fi']",['Sunrise']
2573,Minami no Niji no Lucy,50,winter,1982,Novel,25,6.97,3092,NG,[],"['Adventure', 'Slice of Life']",['Nippon Animation']
8011,Time Bokan Series: Gyakuten Ippatsuman,58,winter,1982,,24,5.82,1583,NG,['Mecha'],"['Action', 'Comedy', 'Sci-Fi']",['Tatsunoko Production']
6629,Asari-chan,54,winter,1982,Manga,24,6.09,1380,Shoujo,[],['Comedy'],['Toei Animation']
1279,Taiyou no Ko Esteban,39,spring,1982,Novel,27,7.75,14132,NG,['Historical'],"['Adventure', 'Sci-Fi']",['Pierrot']
518,Mahou no Princess Minky Momo,63,spring,1982,Original,23,6.89,9987,NG,['Mahou Shoujo'],['Fantasy'],['Ashi Productions']
2835,Patalliro!,49,spring,1982,Manga,24,7.27,9156,Shoujo,[],"['Adventure', 'Boys Love', 'Comedy']",['Toei Animation']
3136,Ochamegami Monogatari: Korokoro Pollon,46,spring,1982,Manga,22,6.95,3907,NG,['Parody'],['Comedy'],['Kokusai Eigasha']
4853,Tezuka Osamu no Don Dracula,8,spring,1982,Manga,24,5.99,3244,NG,['Vampire'],"['Comedy', 'Horror', 'Supernatural']",['Tezuka Productions']
3609,Kikou Kantai Dairugger XV,52,spring,1982,,25,6.38,3078,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
3880,Makyou Densetsu Acrobunch,24,spring,1982,Original,25,5.86,1874,NG,['Mecha'],['Sci-Fi'],[]
3969,Kagaku Kyuujo-tai TechnoVoyager,18,spring,1982,,25,6.08,1741,NG,"['Mecha', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Toei Animation']
3075,Tondera House no Daibouken,52,spring,1982,Original,24,6.2,1692,NG,"['Historical', 'Time Travel']","['Adventure', 'Sci-Fi']",['Tatsunoko Production']
12243,Game Center Arashi,26,spring,1982,Manga,24,5.94,1150,Kids,['Video Game'],['Comedy'],['Shin-Ei Animation']
3159,The Kabocha Wine,95,summer,1982,Manga,25,6.68,4086,Shounen,['School'],"['Comedy', 'Romance']",['Toei Animation']
4242,Ginga Reppuu Baxingar,39,summer,1982,Original,25,6.31,1873,NG,['Mecha'],"['Action', 'Adventure']",['Kokusai Eigasha']
1088,Macross,36,fall,1982,Original,25,7.89,112218,NG,"['Mecha', 'Military', 'Music', 'Space']","['Action', 'Romance', 'Sci-Fi']",['Tatsunoko Production']
2451,Space Cobra,31,fall,1982,Manga,24,7.66,24235,Shounen,"['Adult Cast', 'Space']","['Action', 'Adventure', 'Sci-Fi']",['Tokyo Movie Shinsha']
3125,Tokimeki Tonight,34,fall,1982,Manga,24,7.12,10377,Shoujo,['Vampire'],"['Comedy', 'Fantasy', 'Romance']",['Group TAC']
2203,Waga Seishun no Arcadia: Mugen Kidou SSX,22,fall,1982,,25,7.36,7903,NG,['Space'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Toei Animation']
8373,Shin Mitsubachi Maya no Bouken,52,fall,1982,,25,6.39,4097,NG,[],"['Adventure', 'Comedy']",['Nippon Animation']
3806,Sasuga no Sarutobi,69,fall,1982,Manga,25,6.4,2191,NG,['Martial Arts'],"['Adventure', 'Comedy', 'Romance', 'Sports']",['Tsuchida Productions']
